pair,vol_regime,horizon_bars,horizon_hours,count,vol20_mean_pct,current_abs_return_mean_pct,future_return_mean_pct,future_abs_return_mean_pct,future_return_up_rate_pct
EURUSD,Q2_lower,3,12,1366,0.1344176572,0.0960158690,0.0116625788,0.2100667664,52.1229868228
EURUSD,Q2_lower,6,24,1366,0.1344176572,0.0960158690,0.0198389686,0.3143246966,50.5124450952
EURUSD,Q2_lower,12,48,1366,0.1344176572,0.0960158690,0.0074853253,0.4557516553,48.0234260615
EURUSD,Q3_mid,1,4,1365,0.1692948387,0.1226322327,-0.0047060389,0.1336610004,49.4505494505
EURUSD,Q3_mid,3,12,1365,0.1692948387,0.1226322327,-0.0146519802,0.2439289485,47.6190476190
EURUSD,Q3_mid,6,24,1363,0.1692893297,0.1225837862,-0.0371740723,0.3566457175,44.8275862069
EURUSD,Q3_mid,12,48,1357,0.1693254044,0.1223471900,-0.0840092502,0.5090032992,44.1414885777
EURUSD,Q4_higher,1,4,1365,0.2082779487,0.1548844679,-0.0008653872,0.1432968478,49.1575091575
EURUSD,Q4_higher,3,12,1363,0.2082947120,0.1549710948,-0.0011814932,0.2645718492,50.2567865004
EURUSD,Q4_higher,6,24,1362,0.2083007888,0.1547680721,0.0074973219,0.3944426872,51.2481644640
EURUSD,Q4_higher,12,48,1362,0.2083007888,0.1547680721,0.0246985222,0.5403915398,50.8810572687
EURUSD,Q5_high,1,4,1366,0.3084800788,0.2115996265,0.0042611787,0.1797659401,49.7071742313
EURUSD,Q5_high,3,12,1366,0.3084800788,0.2115996265,0.0134376733,0.3214815305,49.7803806735
EURUSD,Q5_high,6,24,1366,0.3084800788,0.2115996265,0.0252131397,0.4624898884,49.9267935578
EURUSD,Q5_high,12,48,1366,0.3084800788,0.2115996265,0.0535833843,0.6948149706,50.6588579795
AUDJPY,Q1_low,1,4,1366,0.1493509244,0.1157159803,0.0025611165,0.1455567440,51.3909224012
AUDJPY,Q1_low,3,12,1366,0.1493509244,0.1157159803,-0.0039887617,0.2747089332,52.7086383602
AUDJPY,Q1_low,6,24,1366,0.1493509244,0.1157159803,-0.0073776207,0.4275969413,53.5139092240
AUDJPY,Q1_low,12,48,1366,0.1493509244,0.1157159803,0.0058073035,0.5948712487,51.6837481698
AUDJPY,Q2_lower,1,4,1365,0.2038809075,0.1542990896,0.0051553537,0.1735446537,52.0879120879
AUDJPY,Q2_lower,3,12,1364,0.2038671385,0.1543006636,0.0219080536,0.3153050339,54.0322580645
AUDJPY,Q2_lower,6,24,1364,0.2038671385,0.1543006636,0.0495834519,0.4583878815,56.8181818182
AUDJPY,Q2_lower,12,48,1364,0.2038671385,0.1543006636,0.0904057942,0.7105430708,57.9178885630
AUDJPY,Q3_mid,1,4,1365,0.2467868483,0.1890566158,0.0064758330,0.1879770878,52.5274725275
AUDJPY,Q3_mid,3,12,1364,0.2468014318,0.1890549222,0.0228148343,0.3517428947,55.3519061584
AUDJPY,Q3_mid,6,24,1361,0.2468340263,0.1891814697,0.0577230484,0.5129336764,56.4290962528
AUDJPY,Q3_mid,12,48,1355,0.2468820144,0.1892042513,0.0995165989,0.7123716463,57.3431734317
AUDJPY,Q4_higher,1,4,1365,0.3006409884,0.2283352221,0.0044691284,0.2261908908,50.9157509158
AUDJPY,Q4_higher,3,12,1365,0.3006409884,0.2283352221,0.0141735645,0.3947016820,52.5274725275
AUDJPY,Q4_higher,6,24,1365,0.3006409884,0.2283352221,0.0027339870,0.5564657586,52.0146520147
AUDJPY,Q4_higher,12,48,1365,0.3006409884,0.2283352221,-0.0152182637,0.7875198035,52.6739926740
AUDJPY,Q5_high,1,4,1366,0.4677597017,0.3262230157,0.0020964416,0.2803220541,51.6837481698
AUDJPY,Q5_high,3,12,1366,0.4677597017,0.3262230157,0.0069247584,0.4910763610,53.0746705710
AUDJPY,Q5_high,6,24,1366,0.4677597017,0.3262230157,0.0208257105,0.6975696813,50.2196193265
AUDJPY,Q5_high,12,48,1366,0.4677597017,0.3262230157,0.0670552015,0.9149318572,55.2708638360
